month,day_of_month,hour,outdoor_temperature,outdoor_humidity,wind_speed,wind_direction,diffuse_solar_radiation,direct_solar_radiation,air_temperature,air_humidity,people_occupant,htg_setpoint,clg_setpoint,co2_emission,HVAC_electricity_demand_rate,total_electricity_HVAC
1.0,1.0,0.0,-4.400000095367432,65.0,7.199999809265137,260.0,0.0,0.0,17.992496490478516,31.959339141845703,0.0,12.800000190734863,40.0,0.0,1806.538330078125,6266811.5
1.0,1.0,1.0,-4.720972061157227,67.20681762695312,5.199999809265137,270.0,0.0,0.0,17.745752334594727,31.99386978149414,0.0,16.0,26.0,0.0,5921.970703125,22076778.0
1.0,1.0,2.0,-4.115539073944092,61.50935363769531,6.699999809265137,260.0,0.0,0.0,17.52092170715332,31.73699951171875,0.0,15.0,27.0,0.0,2101.6337890625,7384867.5
1.0,1.0,3.0,-3.4260060787200928,56.10261154174805,7.199999809265137,270.0,0.0,0.0,17.32145881652832,31.519332885742188,0.0,12.0,30.0,0.0,1845.201416015625,6527108.5
1.0,1.0,4.0,-3.129045248031616,58.76985168457031,9.300000190734863,270.0,0.0,0.0,17.114295959472656,30.776065826416016,0.0,16.0,26.0,0.0,6599.14404296875,24714672.0
1.0,1.0,5.0,-3.903853416442871,63.60548782348633,6.699999809265137,260.0,0.0,0.0,18.480207443237305,27.831241607666016,0.0,19.0,23.25,0.0,17462.80078125,63567704.0
1.0,1.0,6.0,-4.555296421051025,70.35165405273438,6.199999809265137,250.0,0.0,0.0,17.700157165527344,27.265670776367188,0.0,16.0,26.0,0.0,3092.540771484375,11121182.0
1.0,1.0,7.0,-3.613768815994263,60.90987014770508,8.800000190734863,260.0,3.0,98.0,17.493547439575195,26.130502700805664,0.0,13.0,29.0,0.0,2866.629150390625,10294843.0
1.0,1.0,8.0,-3.367455005645752,49.39433288574219,9.300000190734863,270.0,70.0,345.0,19.099925994873047,28.53251075744629,20.0,16.0,26.0,0.0,2756.3427734375,9944111.0
1.0,1.0,9.0,-3.4979889392852783,39.56764221191406,10.300000190734863,290.0,95.0,577.0,21.01212501525879,27.546401977539062,20.0,21.0,23.25,0.0,11984.1103515625,44929968.0
1.0,1.0,10.0,-2.069557905197144,37.57709884643555,9.800000190734863,260.0,149.0,501.0,22.343042373657227,28.379779815673828,20.0,21.0,23.25,0.0,1900.312255859375,6915771.0
1.0,1.0,11.0,-2.393472194671631,35.19672393798828,8.800000190734863,280.0,203.0,139.0,23.24970054626465,26.50772857666016,16.0,20.0,23.25,0.0,3383.1220703125,12544087.0
1.0,1.0,12.0,-3.304482698440552,34.42131423950195,9.300000190734863,290.0,239.0,347.0,23.249650955200195,22.16501235961914,8.0,19.0,23.25,0.0,4726.69384765625,17173316.0
1.0,1.0,13.0,-4.482028961181641,48.18474578857422,7.699999809265137,300.0,74.0,0.0,24.35591506958008,26.06727600097656,16.0,14.0,28.0,0.0,2519.17822265625,9124224.0
1.0,1.0,14.0,-4.147091865539551,34.56314468383789,9.800000190734863,290.0,129.0,260.0,24.940576553344727,29.621166229248047,20.0,17.0,25.0,0.0,2378.08935546875,8608787.0
1.0,1.0,15.0,-4.29400110244751,25.532136917114254,7.699999809265137,330.0,62.0,54.0,24.001768112182617,24.4581241607666,20.0,18.0,24.0,0.0,4637.89892578125,16995942.0
1.0,1.0,16.0,-7.0494065284729,35.415531158447266,9.300000190734863,330.0,4.0,53.0,23.25285530090332,23.983421325683597,20.0,19.0,23.25,0.0,5712.01123046875,20914190.0
1.0,1.0,17.0,-7.745728015899658,31.129383087158203,10.800000190734863,320.0,0.0,0.0,24.20315170288086,27.835952758789062,20.0,12.0,30.0,0.0,3200.94873046875,11479604.0
1.0,1.0,18.0,-7.983775615692139,32.92778396606445,9.300000190734863,320.0,0.0,0.0,23.249814987182617,30.903614044189453,10.0,19.0,23.25,0.0,2094.31591796875,7569264.5
1.0,1.0,19.0,-7.766424655914307,34.4049072265625,11.300000190734863,320.0,0.0,0.0,21.63147354125977,31.88204574584961,2.0,20.0,23.25,0.0,4700.08154296875,16509263.0
1.0,1.0,20.0,-9.208185195922852,23.67087745666504,10.800000190734863,320.0,0.0,0.0,20.67653083801269,32.792518615722656,2.0,20.0,23.25,0.0,7973.2392578125,28761654.0
1.0,1.0,21.0,-10.235062599182127,27.677698135375977,7.199999809265137,330.0,0.0,0.0,19.95109367370605,33.105003356933594,0.0,17.0,25.0,0.0,2529.35302734375,9099800.0
1.0,1.0,22.0,-10.949061393737791,29.96283531188965,9.300000190734863,330.0,0.0,0.0,19.22376823425293,33.009281158447266,0.0,16.0,26.0,0.0,2738.62939453125,9787424.0
1.0,1.0,23.0,-11.682795524597168,36.97268295288086,8.800000190734863,320.0,0.0,0.0,20.612363815307617,28.98195075988769,0.0,21.0,23.25,0.0,20014.041015625,72023440.0
1.0,2.0,0.0,-11.864176750183104,39.86775588989258,7.699999809265137,320.0,0.0,0.0,19.187856674194336,30.961015701293945,0.0,19.0,23.25,0.0,8801.779296875,30482684.0
1.0,2.0,1.0,-12.348321914672852,41.50887298583984,5.199999809265137,340.0,0.0,0.0,18.76778221130371,31.19210624694824,0.0,16.0,26.0,0.0,3312.78076171875,11858387.0
1.0,2.0,2.0,-12.504778861999512,43.70256805419922,2.5999999046325684,340.0,0.0,0.0,18.504810333251957,31.797096252441406,0.0,16.0,26.0,0.0,3933.97021484375,13914530.0
1.0,2.0,3.0,-12.766142845153809,45.80009078979492,2.5999999046325684,330.0,0.0,0.0,18.99997329711914,30.35271644592285,0.0,19.0,23.25,0.0,18613.34375,67370232.0
1.0,2.0,4.0,-13.268415451049805,51.133209228515625,2.5999999046325684,300.0,0.0,0.0,18.99995803833008,30.14505195617676,0.0,19.0,23.25,0.0,12112.43359375,43604764.0
1.0,2.0,5.0,-12.877948760986328,49.27033615112305,3.5999999046325684,310.0,0.0,0.0,19.9998779296875,27.50136375427246,0.0,20.0,23.25,0.0,16864.544921875,61461016.0
1.0,2.0,6.0,-12.830463409423828,51.18484878540039,2.0999999046325684,290.0,0.0,0.0,18.940723419189453,26.649642944335938,0.0,17.0,25.0,0.0,5186.8330078125,18675282.0
1.0,2.0,7.0,-12.249597549438477,52.14131164550781,3.0999999046325684,330.0,4.0,78.0,18.454256057739254,26.073129653930664,0.0,17.0,25.0,0.0,7647.32958984375,27805778.0
1.0,2.0,8.0,-11.58930206298828,50.04541778564453,3.5999999046325684,330.0,100.0,276.0,21.0009880065918,27.64163398742676,20.0,21.0,23.25,0.0,17699.771484375,65045916.0
1.0,2.0,9.0,-10.213290214538574,43.03596115112305,3.5999999046325684,310.0,137.0,188.0,22.341381072998047,29.384838104248047,20.0,12.0,30.0,0.0,4437.60498046875,16027681.0
1.0,2.0,10.0,-9.243338584899902,40.49974060058594,0.0,0.0,172.0,360.0,23.24940490722656,28.829858779907227,20.0,21.0,23.25,0.0,6072.01220703125,22035520.0
1.0,2.0,11.0,-7.302002906799316,42.09050750732422,2.5999999046325684,280.0,152.0,519.0,24.16782760620117,31.202394485473636,16.0,16.0,26.0,0.0,3524.90087890625,12736885.0
1.0,2.0,12.0,-5.85317850112915,38.77019500732422,2.5999999046325684,260.0,208.0,281.0,23.24930953979492,25.177474975585938,8.0,20.0,23.25,0.0,3632.537353515625,13411674.0
1.0,2.0,13.0,-5.800347328186035,39.46878433227539,2.0999999046325684,250.0,175.0,118.0,23.249303817749023,22.11676788330078,16.0,19.0,23.25,0.0,7834.97216796875,28793840.0
1.0,2.0,14.0,-5.558290481567383,38.40323257446289,2.0999999046325684,200.0,85.0,0.0,24.430465698242188,29.19564247131348,20.0,15.0,27.0,0.0,2704.263916015625,9751783.0
1.0,2.0,15.0,-5.872159481048584,41.636810302734375,1.5,70.0,62.0,87.0,25.33882713317871,35.04235076904297,20.0,13.0,29.0,0.0,2744.635009765625,9925804.0
1.0,2.0,16.0,-5.838710308074951,37.99824905395508,2.5999999046325684,110.0,4.0,22.0,25.00034713745117,33.73535919189453,20.0,17.0,25.0,0.0,3304.92529296875,12510704.0
1.0,2.0,17.0,-5.005415916442871,31.32050323486328,3.5999999046325684,60.0,0.0,0.0,23.249311447143555,29.08870506286621,20.0,19.0,23.25,0.0,5170.19921875,16963986.0
1.0,2.0,18.0,-5.160538673400879,31.249568939208984,3.0999999046325684,90.0,0.0,0.0,23.319562911987305,35.641578674316406,10.0,12.0,30.0,0.0,1601.57080078125,5783146.5
1.0,2.0,19.0,-4.942601680755615,30.350345611572266,4.099999904632568,60.0,0.0,0.0,22.53358268737793,35.755123138427734,2.0,14.0,28.0,0.0,1530.2835693359375,5520228.5
