Actual (kWh),Predicted (kWh),Error (kWh)
107.7,115.3034,-7.603398132324216
121.0,114.88159,6.118408203125
110.0,130.76498,-20.764984130859375
108.4,125.957054,-17.557054138183588
109.4,128.34218,-18.942178344726557
113.6,129.72571,-16.125708007812506
119.9,129.29944,-9.399438476562494
123.1,128.8141,-5.714102172851568
123.8,128.94278,-5.142779541015628
122.8,130.27905,-7.479052734375003
123.0,130.44145,-7.4414520263671875
121.3,131.17812,-9.878115844726565
130.9,131.25874,-0.3587432861328068
170.9,132.53938,38.36061706542969
218.8,138.8862,79.91380004882814
138.9,165.0714,-26.171395874023432
143.7,147.54053,-3.8405273437500114
130.8,138.40475,-7.604754638671864
139.3,127.88836,11.411640930175793
100.0,118.835434,-18.835433959960938
99.3,115.055016,-15.755015563964847
101.8,110.66992,-8.869921875000003
104.2,108.023636,-3.8236358642578097
105.4,108.33549,-2.9354873657226506
106.0,109.55188,-3.5518798828125
105.0,109.23098,-4.230979919433594
107.4,109.28212,-1.8821197509765568
109.3,110.272026,-0.9720260620117216
111.3,110.57085,0.7291534423828097
111.6,110.530106,1.0698944091796818
112.0,110.32866,1.6713409423828125
111.2,109.404305,1.7956954956054716
109.7,108.00962,1.6903793334960966
111.0,106.01677,4.9832305908203125
110.4,105.32428,5.075720214843756
111.6,104.89037,6.709626770019526
111.6,105.852104,5.747895812988276
108.8,105.86963,2.930371093749997
109.7,104.41158,5.288417053222659
108.6,104.79036,3.809640502929682
107.5,104.910095,2.58990478515625
105.4,104.010475,1.3895248413085994
107.1,103.70871,3.3912902832031193
106.1,105.85661,0.24338684082030682
105.1,106.263535,-1.1635345458984432
104.5,107.78738,-3.2873764038085938
102.9,107.758766,-4.858766174316401
102.2,107.93318,-5.73318176269531
107.1,107.709915,-0.6099151611328182
117.5,118.49034,-0.9903411865234375
110.7,128.56197,-17.86196594238281
106.7,124.25777,-17.55776672363281
109.4,122.657715,-13.257714843749994
109.6,123.746025,-14.146025085449224
114.8,124.19999,-9.399989318847659
183.5,125.1528,58.347198486328125
125.9,141.03287,-15.13286743164062
130.0,134.40645,-4.4064483642578125
121.6,128.13495,-6.534948730468756
107.1,124.60101,-17.501013183593756
126.4,121.03407,5.365927124023443
144.0,123.47986,20.5201416015625
141.5,130.2144,11.285598754882812
130.4,133.2567,-2.856698608398432
132.1,129.0538,3.0461975097656193
135.2,128.25067,6.949328613281239
130.9,128.25453,2.645468139648443
123.5,128.9581,-5.458099365234375
126.4,121.54444,4.855558776855474
118.9,120.90017,-2.000169372558588
117.0,118.07991,-1.0799102783203125
114.5,117.895546,-3.3955459594726562
103.0,116.44234,-13.442337036132812
96.2,110.99542,-14.795422363281247
99.1,105.99153,-6.891531372070318
103.0,105.29474,-2.29473876953125
106.9,107.96117,-1.0611663818359318
105.0,109.227875,-4.227874755859375
105.0,107.74348,-2.7434768676757812
104.2,106.89278,-2.6927764892578097
103.5,106.10591,-2.6059112548828125
104.5,104.92991,-0.42990875244140625
102.5,104.4856,-1.9856033325195312
101.2,103.73393,-2.5339324951171847
98.2,102.78936,-4.589360046386716
97.4,100.53515,-3.135148620605463
99.6,100.12385,-0.5238479614257869
99.0,101.49041,-2.4904098510742188
97.9,100.348206,-2.4482055664062443
96.2,99.911446,-3.7114456176757784
96.0,99.10076,-3.1007614135742188
98.4,99.40427,-1.0042663574218693
99.0,101.38132,-2.381317138671875
99.0,101.717964,-2.7179641723632812
98.9,101.98367,-3.0836730957031193
97.1,102.49048,-5.390478515625006
102.5,101.73887,0.7611312866210938
117.2,107.812775,9.387225341796878
112.1,121.313866,-9.2138656616211
117.6,116.21008,1.3899169921874943
122.6,120.75499,1.8450103759765568
