noise_std,R2,RMSE,MAE,collapsed_R2<0
0.0,0.604131536383991,1899.3522943816372,1027.8136445053422,False
0.1,0.5980597646969938,1913.8628575628898,1037.7225882003224,False
0.2,0.5812471630118687,1953.479932008879,1061.8749769933286,False
0.30000000000000004,0.5575016481576942,2008.1026147961913,1095.984023004658,False
0.4,0.5339439612560386,2060.863097596638,1128.1877053759476,False
0.5,0.5041643317305854,2125.6852320592407,1174.0591544465713,False
0.6000000000000001,0.47154209969087113,2194.4984092574396,1222.0072671532616,False
0.7000000000000001,0.4431169934892354,2252.7451100254116,1262.588303006429,False
0.8,0.4093963782190102,2319.9473337431123,1311.017629708685,False
0.9,0.3843366543690516,2368.654523341306,1355.1886132525515,False
1.0,0.3452408797332379,2442.704042806283,1412.8787072322623,False
1.1,0.3183956427966118,2492.276669077999,1456.3181882124045,False
1.2000000000000002,0.2950039699575694,2534.6815793759024,1488.116597122344,False
1.3,0.2642606636485737,2589.3577716020695,1539.1848859971035,False
1.4000000000000001,0.22166281114789044,2663.262436328644,1593.5296894870448,False
1.5,0.20963533205005003,2683.7609641628947,1621.7111767971096,False
1.6,0.18732592030864437,2721.3742867868295,1655.7571774821201,False
1.7000000000000002,0.1518012906680657,2780.218165178895,1707.9250466912063,False
1.8,0.13067361505119235,2814.631238913776,1748.7672750973547,False
1.9000000000000001,0.10197277615449818,2860.716521877891,1783.787670632319,False
2.0,0.07677361916582448,2900.575509922013,1819.100792684933,False
2.1,0.052150922743972594,2939.000559482541,1855.912393755029,False
2.2,0.024292036536594175,2981.878871263632,1897.9757132898853,False
2.3000000000000003,0.005105634394264813,3011.054099924024,1920.0205424800915,False
2.4000000000000004,-0.013395455691777025,3038.921971898645,1948.2233777789475,True
2.5,-0.032436360765312644,3067.3385907035736,1979.6122863773778,True
2.6,-0.05026799543653482,3093.7138294682395,2002.851255426018,True
2.7,-0.07621570615613593,3131.6969968014378,2034.8433926439018,True
2.8000000000000003,-0.09562798874733747,3159.814822467155,2064.1445510753065,True
2.9000000000000004,-0.10493767594871839,3173.211094863106,2080.9246879818097,True
3.0,-0.13823060185069025,3220.662390089359,2119.4140564941495,True
